harry potter, jk rowling|hobbit,jrr tolkien|NULL,NULL|NULL,NULL|NULL,NULL|
lord of the rings, jrr tolkien|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
childhood's end, arthur c clarke|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
vatan yahut silistre, namik kemal|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
dune, frank herbert|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
elric, michael moorcock|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
i robot, isaac asimov|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
narnia, cs lewis|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|NULL,NULL|
